date;respiration;activite_electrodermale;temperature;frequence_cardiaque
17/02/2014 16:50:13.779;-6,884;-42,405;32,721;82
17/02/2014 16:50:13.810;-6,689;-42,33;32,721;82
17/02/2014 16:50:13.842;-6,58;-42,255;32,721;82
17/02/2014 16:50:13.873;-6,518;-42,167;32,721;82
17/02/2014 16:50:13.904;-6,455;-42,092;32,708;82
17/02/2014 16:50:13.935;-6,463;-42,017;32,721;82
17/02/2014 16:50:13.967;-6,502;-41,942;32,721;82
17/02/2014 16:50:13.998;-6,487;-41,867;32,708;82
17/02/2014 16:50:14.029;-6,463;-41,867;32,721;82
17/02/2014 16:50:14.060;-6,479;-41,867;32,721;82
17/02/2014 16:50:14.092;-6,51;-41,879;32,721;82
17/02/2014 16:50:14.123;-6,502;-41,879;32,721;82
17/02/2014 16:50:14.154;-6,479;-41,879;32,721;82
17/02/2014 16:50:14.185;-6,479;-41,879;32,721;82
17/02/2014 16:50:14.217;-6,728;-41,879;32,821;82
17/02/2014 16:50:14.248;-6,705;-41,879;32,721;82
17/02/2014 16:50:14.279;-6,65;-41,879;32,721;82
17/02/2014 16:50:14.310;-6,666;-41,892;32,721;82
17/02/2014 16:50:14.342;-6,658;-41,892;32,721;82
17/02/2014 16:50:14.373;-6,658;-41,892;32,721;82
17/02/2014 16:50:14.404;-6,635;-41,892;32,721;82
17/02/2014 16:50:14.435;-6,666;-41,892;32,721;82
17/02/2014 16:50:14.467;-6,658;-41,904;32,721;82
17/02/2014 16:50:14.498;-6,635;-41,904;32,721;82
17/02/2014 16:50:14.529;-6,627;-41,904;32,721;82
17/02/2014 16:50:14.560;-6,611;-41,904;32,721;82
17/02/2014 16:50:14.592;-6,658;-41,917;32,721;82
17/02/2014 16:50:14.623;-6,728;-41,917;32,721;82
17/02/2014 16:50:14.654;-7,134;-41,904;32,733;82
17/02/2014 16:50:14.685;-7,15;-41,904;32,721;82
17/02/2014 16:50:14.717;-7,212;-41,904;32,721;82
17/02/2014 16:50:14.748;-7,22;-41,917;32,721;82
17/02/2014 16:50:14.779;-7,259;-41,904;32,733;82
17/02/2014 16:50:14.810;-7,29;-41,904;32,721;82
17/02/2014 16:50:14.842;-7,274;-41,904;32,733;82
17/02/2014 16:50:14.873;-7,251;-41,904;32,721;82
17/02/2014 16:50:14.904;-7,259;-41,904;32,733;82
17/02/2014 16:50:14.935;-7,259;-41,904;32,733;82
17/02/2014 16:50:14.967;-7,212;-41,892;32,733;82
17/02/2014 16:50:14.998;-7,22;-41,892;32,733;82
17/02/2014 16:50:15.029;-7,181;-41,892;32,733;82
