date;respiration;activite_electrodermale;temperature;frequence_cardiaque
13/03/2014 18:06:28.688;-15,269;-43,056;26,665;54
13/03/2014 18:06:28.719;-15,02;-43,056;26,665;54
13/03/2014 18:06:28.751;-14,801;-43,056;26,665;54
13/03/2014 18:06:28.782;-14,606;-43,056;26,665;54
13/03/2014 18:06:28.813;-14,482;-43,056;26,665;54
13/03/2014 18:06:28.844;-14,333;-43,056;26,665;54
13/03/2014 18:06:28.876;-14,216;-43,068;26,665;54
13/03/2014 18:06:28.907;-14,099;-43,068;26,665;54
13/03/2014 18:06:28.938;-14,029;-43,068;26,665;54
13/03/2014 18:06:28.969;-14,029;-43,068;26,665;54
13/03/2014 18:06:29.001;-14,053;-43,068;26,665;54
13/03/2014 18:06:29.032;-14,06;-43,068;26,665;54
13/03/2014 18:06:29.063;-14,06;-43,068;26,665;54
13/03/2014 18:06:29.094;-14,021;-43,068;26,665;54
13/03/2014 18:06:29.126;-14,271;-43,056;26,677;54
13/03/2014 18:06:29.157;-14,24;-43,056;26,665;54
13/03/2014 18:06:29.188;-14,209;-43,056;26,665;54
13/03/2014 18:06:29.219;-14,131;-43,056;26,665;54
13/03/2014 18:06:29.251;-14,076;-43,056;26,665;54
13/03/2014 18:06:29.282;-14,014;-43,056;26,665;54
13/03/2014 18:06:29.313;-13,982;-43,056;26,665;54
13/03/2014 18:06:29.344;-14,014;-43,056;26,665;54
13/03/2014 18:06:29.376;-13,951;-43,068;26,665;54
13/03/2014 18:06:29.407;-13,928;-43,068;26,665;54
13/03/2014 18:06:29.438;-13,92;-43,068;26,665;54
13/03/2014 18:06:29.469;-13,936;-43,068;26,665;54
13/03/2014 18:06:29.501;-13,912;-43,068;26,665;54
13/03/2014 18:06:29.532;-13,904;-43,068;26,665;54
13/03/2014 18:06:29.563;-14,185;-43,056;26,69;54
13/03/2014 18:06:29.594;-14,146;-43,068;26,665;54
13/03/2014 18:06:29.626;-14,107;-43,068;26,665;54
13/03/2014 18:06:29.657;-14,084;-43,068;26,665;54
13/03/2014 18:06:29.688;-14,06;-43,068;26,665;54
13/03/2014 18:06:29.719;-14,029;-43,068;26,665;54
13/03/2014 18:06:29.751;-14,014;-43,068;26,665;54
13/03/2014 18:06:29.782;-13,998;-43,068;26,665;54
13/03/2014 18:06:29.813;-14,006;-43,068;26,665;54
13/03/2014 18:06:29.844;-13,975;-43,068;26,665;54
13/03/2014 18:06:29.876;-13,998;-43,068;26,665;54
13/03/2014 18:06:29.907;-13,943;-43,068;26,677;54
13/03/2014 18:06:29.938;-14,014;-43,068;26,665;54
13/03/2014 18:06:29.969;-14,099;-43,068;26,665;54
13/03/2014 18:06:30.001;-14,435;-43,068;26,665;54
13/03/2014 18:06:30.032;-14,404;-43,068;26,665;54
13/03/2014 18:06:30.063;-14,349;-43,068;26,677;54
13/03/2014 18:06:30.094;-14,294;-43,068;26,677;54
13/03/2014 18:06:30.126;-14,287;-43,068;26,665;54
13/03/2014 18:06:30.157;-14,255;-43,068;26,665;54
13/03/2014 18:06:30.188;-14,162;-43,068;26,677;54
13/03/2014 18:06:30.219;-14,115;-43,068;26,665;54
13/03/2014 18:06:30.251;-14,084;-43,068;26,665;54
13/03/2014 18:06:30.282;-14,014;-43,068;26,677;54
13/03/2014 18:06:30.313;-13,967;-43,068;26,677;54
13/03/2014 18:06:30.344;-13,889;-43,068;26,665;54
13/03/2014 18:06:30.376;-13,826;-43,068;26,677;54
13/03/2014 18:06:30.407;-13,772;-43,068;26,677;54
13/03/2014 18:06:30.438;-13,951;-43,068;26,677;54
13/03/2014 18:06:30.469;-13,873;-43,068;26,677;54
13/03/2014 18:06:30.501;-13,78;-43,068;26,677;54
13/03/2014 18:06:30.532;-13,709;-43,068;26,665;54
13/03/2014 18:06:30.563;-13,639;-43,068;26,677;54
13/03/2014 18:06:30.594;-13,553;-43,068;26,677;54
13/03/2014 18:06:30.626;-13,491;-43,068;26,677;54
13/03/2014 18:06:30.657;-13,397;-43,068;26,677;54
13/03/2014 18:06:30.688;-13,335;-43,068;26,677;54
13/03/2014 18:06:30.719;-13,265;-43,068;26,677;54
13/03/2014 18:06:30.751;-13,21;-43,068;26,677;54
13/03/2014 18:06:30.782;-13,156;-43,068;26,677;54
13/03/2014 18:06:30.813;-13,062;-43,068;26,677;54
13/03/2014 18:06:30.844;-12,984;-43,068;26,677;54
13/03/2014 18:06:30.876;-13,218;-43,068;26,677;54
13/03/2014 18:06:30.907;-13,171;-43,068;26,665;54
13/03/2014 18:06:30.938;-13,14;-43,068;26,677;54
13/03/2014 18:06:30.969;-13,093;-43,068;26,677;54
13/03/2014 18:06:31.001;-13,054;-43,068;26,665;54
13/03/2014 18:06:31.032;-12,976;-43,068;26,665;54
13/03/2014 18:06:31.063;-12,898;-43,068;26,665;53
13/03/2014 18:06:31.094;-12,875;-43,068;26,677;53
13/03/2014 18:06:31.126;-12,805;-43,068;26,677;53
13/03/2014 18:06:31.157;-12,727;-43,068;26,677;53
13/03/2014 18:06:31.188;-12,672;-43,068;26,677;53
13/03/2014 18:06:31.219;-12,625;-43,068;26,677;53
13/03/2014 18:06:31.251;-12,594;-43,068;26,677;53
13/03/2014 18:06:31.282;-12,578;-43,068;26,677;53
13/03/2014 18:06:31.313;-12,797;-43,068;26,677;53
13/03/2014 18:06:31.344;-12,719;-43,068;26,677;53
13/03/2014 18:06:31.376;-12,688;-43,068;26,677;53
13/03/2014 18:06:31.407;-12,633;-43,068;26,677;53
13/03/2014 18:06:31.438;-12,633;-43,068;26,677;53
13/03/2014 18:06:31.469;-12,61;-43,068;26,677;53
13/03/2014 18:06:31.501;-12,594;-43,068;26,677;53
13/03/2014 18:06:31.532;-12,586;-43,068;26,677;53
13/03/2014 18:06:31.563;-12,555;-43,068;26,677;53
13/03/2014 18:06:31.594;-12,539;-43,068;26,677;53
13/03/2014 18:06:31.626;-12,547;-43,068;26,677;53
13/03/2014 18:06:31.657;-12,563;-43,068;26,677;53
13/03/2014 18:06:31.688;-12,547;-43,068;26,677;53
13/03/2014 18:06:31.719;-12,547;-43,068;26,677;53
13/03/2014 18:06:31.751;-12,836;-43,068;26,677;53
13/03/2014 18:06:31.782;-12,781;-43,068;26,677;53
13/03/2014 18:06:31.813;-12,758;-43,068;26,677;53
13/03/2014 18:06:31.844;-12,734;-43,068;26,677;53
13/03/2014 18:06:31.876;-12,773;-43,068;26,677;53
13/03/2014 18:06:31.907;-12,844;-43,068;26,677;53
13/03/2014 18:06:31.938;-12,851;-43,068;26,677;53
13/03/2014 18:06:31.969;-12,867;-43,068;26,677;53
13/03/2014 18:06:32.001;-12,844;-43,081;26,677;54
13/03/2014 18:06:32.032;-12,914;-43,081;26,677;54
13/03/2014 18:06:32.063;-12,929;-43,081;26,677;54
13/03/2014 18:06:32.094;-12,945;-43,081;26,677;54
13/03/2014 18:06:32.126;-12,922;-43,081;26,677;54
13/03/2014 18:06:32.157;-12,953;-43,081;26,677;54
13/03/2014 18:06:32.188;-13,046;-43,081;26,677;54
13/03/2014 18:06:32.219;-13,054;-43,081;26,677;54
13/03/2014 18:06:32.251;-13,07;-43,081;26,677;54
13/03/2014 18:06:32.282;-13,109;-43,081;26,677;54
13/03/2014 18:06:32.313;-13,124;-43,081;26,677;54
13/03/2014 18:06:32.344;-13,156;-43,081;26,677;54
13/03/2014 18:06:32.376;-13,179;-43,081;26,677;54
13/03/2014 18:06:32.407;-13,218;-43,081;26,677;54
13/03/2014 18:06:32.438;-13,241;-43,081;26,677;54
13/03/2014 18:06:32.469;-13,257;-43,081;26,665;54
13/03/2014 18:06:32.501;-13,273;-43,081;26,677;54
13/03/2014 18:06:32.532;-13,296;-43,081;26,665;54
13/03/2014 18:06:32.563;-13,319;-43,081;26,677;54
13/03/2014 18:06:32.594;-13,343;-43,081;26,677;54
13/03/2014 18:06:32.626;-13,577;-43,068;26,677;54
13/03/2014 18:06:32.657;-13,569;-43,068;26,677;54
13/03/2014 18:06:32.688;-13,577;-43,068;26,677;54
13/03/2014 18:06:32.719;-13,514;-43,068;26,665;54
13/03/2014 18:06:32.751;-13,538;-43,068;26,677;54
13/03/2014 18:06:32.782;-13,546;-43,068;26,665;54
13/03/2014 18:06:32.813;-13,585;-43,068;26,665;54
13/03/2014 18:06:32.844;-13,67;-43,068;26,665;54
13/03/2014 18:06:32.876;-13,702;-43,081;26,677;54
13/03/2014 18:06:32.907;-13,741;-43,081;26,677;54
13/03/2014 18:06:32.938;-13,733;-43,081;26,665;54
13/03/2014 18:06:32.969;-13,733;-43,081;26,665;54
13/03/2014 18:06:33.001;-13,717;-43,081;26,665;54
13/03/2014 18:06:33.032;-13,741;-43,081;26,665;54
13/03/2014 18:06:33.063;-13,998;-43,068;26,665;54
13/03/2014 18:06:33.094;-13,967;-43,068;26,665;54
13/03/2014 18:06:33.126;-13,943;-43,068;26,665;54
13/03/2014 18:06:33.157;-13,904;-43,068;26,665;54
13/03/2014 18:06:33.188;-13,865;-43,068;26,677;54
13/03/2014 18:06:33.219;-13,865;-43,068;26,665;54
13/03/2014 18:06:33.251;-13,842;-43,068;26,665;54
13/03/2014 18:06:33.282;-13,819;-43,081;26,665;54
13/03/2014 18:06:33.313;-13,834;-43,081;26,677;54
13/03/2014 18:06:33.344;-13,811;-43,081;26,665;54
13/03/2014 18:06:33.376;-13,819;-43,081;26,665;54
13/03/2014 18:06:33.407;-13,826;-43,081;26,665;54
13/03/2014 18:06:33.438;-13,811;-43,081;26,665;54
13/03/2014 18:06:33.469;-13,78;-43,081;26,665;54
13/03/2014 18:06:33.501;-14,045;-43,081;26,665;54
13/03/2014 18:06:33.532;-13,99;-43,081;26,677;54
13/03/2014 18:06:33.563;-13,975;-43,081;26,665;54
13/03/2014 18:06:33.594;-13,92;-43,081;26,677;54
13/03/2014 18:06:33.626;-13,897;-43,081;26,665;54
13/03/2014 18:06:33.657;-13,873;-43,081;26,677;54
13/03/2014 18:06:33.688;-13,865;-43,081;26,677;54
13/03/2014 18:06:33.719;-13,819;-43,081;26,677;54
13/03/2014 18:06:33.751;-13,811;-43,081;26,677;54
13/03/2014 18:06:33.782;-13,811;-43,081;26,677;54
13/03/2014 18:06:33.813;-13,897;-43,081;26,677;54
13/03/2014 18:06:33.844;-13,943;-43,081;26,677;54
13/03/2014 18:06:33.876;-13,951;-43,081;26,677;54
13/03/2014 18:06:33.907;-13,959;-43,081;26,677;54
13/03/2014 18:06:33.938;-14,248;-43,081;26,69;53
13/03/2014 18:06:33.969;-14,201;-43,081;26,677;53
13/03/2014 18:06:34.001;-14,185;-43,081;26,69;53
13/03/2014 18:06:34.032;-14,138;-43,081;26,69;53
13/03/2014 18:06:34.063;-14,092;-43,081;26,69;53
13/03/2014 18:06:34.094;-14,068;-43,081;26,69;53
13/03/2014 18:06:34.126;-14,076;-43,081;26,69;53
13/03/2014 18:06:34.157;-14,053;-43,081;26,69;53
13/03/2014 18:06:34.188;-14,029;-43,081;26,69;53
13/03/2014 18:06:34.219;-14,014;-43,081;26,69;53
13/03/2014 18:06:34.251;-14,014;-43,081;26,702;53
13/03/2014 18:06:34.282;-13,998;-43,081;26,702;53
13/03/2014 18:06:34.313;-13,99;-43,081;26,702;53
13/03/2014 18:06:34.344;-13,975;-43,081;26,702;53
13/03/2014 18:06:34.376;-14,232;-43,081;26,752;53
13/03/2014 18:06:34.407;-14,209;-43,081;26,702;53
13/03/2014 18:06:34.438;-14,154;-43,081;26,702;53
13/03/2014 18:06:34.469;-14,115;-43,081;26,702;53
13/03/2014 18:06:34.501;-14,092;-43,081;26,702;53
13/03/2014 18:06:34.532;-14,076;-43,081;26,702;53
13/03/2014 18:06:34.563;-14,045;-43,081;26,702;53
13/03/2014 18:06:34.594;-14,029;-43,081;26,702;53
13/03/2014 18:06:34.626;-14,029;-43,081;26,702;53
13/03/2014 18:06:34.657;-13,998;-43,081;26,702;53
13/03/2014 18:06:34.688;-13,975;-43,081;26,702;53
13/03/2014 18:06:34.719;-13,951;-43,081;26,702;53
13/03/2014 18:06:34.751;-13,967;-43,081;26,702;53
13/03/2014 18:06:34.782;-13,998;-43,081;26,702;53
13/03/2014 18:06:34.813;-14,294;-43,081;26,702;53
13/03/2014 18:06:34.844;-14,287;-43,081;26,702;53
13/03/2014 18:06:34.876;-14,24;-43,081;26,702;53
13/03/2014 18:06:34.907;-14,232;-43,081;26,702;53
13/03/2014 18:06:34.938;-14,224;-43,081;26,702;53
13/03/2014 18:06:34.969;-14,224;-43,081;26,702;53
13/03/2014 18:06:35.001;-14,201;-43,081;26,702;53
13/03/2014 18:06:35.032;-14,162;-43,081;26,702;53
13/03/2014 18:06:35.063;-14,146;-43,093;26,702;53
13/03/2014 18:06:35.094;-14,162;-43,093;26,702;53
13/03/2014 18:06:35.126;-14,154;-43,093;26,702;53
13/03/2014 18:06:35.157;-14,123;-43,093;26,702;53
13/03/2014 18:06:35.188;-14,123;-43,093;26,702;53
13/03/2014 18:06:35.219;-14,092;-43,093;26,702;53
13/03/2014 18:06:35.251;-14,38;-43,081;26,727;53
13/03/2014 18:06:35.282;-14,326;-43,081;26,715;53
13/03/2014 18:06:35.313;-14,31;-43,081;26,715;53
13/03/2014 18:06:35.344;-14,24;-43,081;26,715;53
13/03/2014 18:06:35.376;-14,154;-43,081;26,715;53
13/03/2014 18:06:35.407;-14,076;-43,081;26,715;53
13/03/2014 18:06:35.438;-13,998;-43,081;26,715;53
13/03/2014 18:06:35.469;-13,959;-43,081;26,715;53
13/03/2014 18:06:35.501;-13,889;-43,093;26,715;53
13/03/2014 18:06:35.532;-13,78;-43,093;26,727;53
13/03/2014 18:06:35.563;-13,725;-43,093;26,715;53
13/03/2014 18:06:35.594;-13,686;-43,093;26,715;53
13/03/2014 18:06:35.626;-13,592;-43,093;26,727;53
13/03/2014 18:06:35.657;-13,491;-43,093;26,727;53
13/03/2014 18:06:35.688;-13,678;-43,081;26,765;53
13/03/2014 18:06:35.719;-13,608;-43,081;26,727;53
13/03/2014 18:06:35.751;-13,561;-43,081;26,727;53
13/03/2014 18:06:35.782;-13,553;-43,081;26,727;53
13/03/2014 18:06:35.813;-13,507;-43,081;26,727;53
13/03/2014 18:06:35.844;-13,405;-43,081;26,727;53
13/03/2014 18:06:35.876;-13,319;-43,081;26,74;61
13/03/2014 18:06:35.907;-13,296;-43,081;26,74;61
13/03/2014 18:06:35.938;-13,249;-43,093;26,727;61
13/03/2014 18:06:35.969;-13,163;-43,093;26,74;61
13/03/2014 18:06:36.001;-13,117;-43,093;26,74;61
13/03/2014 18:06:36.032;-13,054;-43,093;26,74;61
13/03/2014 18:06:36.063;-13,007;-43,093;26,74;61
13/03/2014 18:06:36.094;-12,968;-43,093;26,74;61
13/03/2014 18:06:36.126;-13,14;-43,081;26,752;61
13/03/2014 18:06:36.157;-13,101;-43,081;26,74;61
13/03/2014 18:06:36.188;-12,984;-43,081;26,74;61
13/03/2014 18:06:36.219;-12,929;-43,081;26,74;61
13/03/2014 18:06:36.251;-12,883;-43,081;26,74;61
13/03/2014 18:06:36.282;-12,805;-43,081;26,74;61
13/03/2014 18:06:36.313;-12,773;-43,081;26,74;61
13/03/2014 18:06:36.344;-12,68;-43,081;26,752;61
13/03/2014 18:06:36.376;-12,617;-43,093;26,752;61
13/03/2014 18:06:36.407;-12,563;-43,093;26,752;61
13/03/2014 18:06:36.438;-12,532;-43,093;26,752;61
13/03/2014 18:06:36.469;-12,469;-43,093;26,752;61
13/03/2014 18:06:36.501;-12,415;-43,093;26,752;61
13/03/2014 18:06:36.532;-12,383;-43,093;26,752;61
13/03/2014 18:06:36.563;-12,625;-43,093;26,765;61
13/03/2014 18:06:36.594;-12,563;-43,093;26,752;61
13/03/2014 18:06:36.626;-12,477;-43,093;26,752;61
