date;respiration;activite_electrodermale;temperature;frequence_cardiaque
03/03/2014 14:17:53.048;9,792;-48,936;22,711;51
03/03/2014 14:17:53.079;10,393;-48,936;22,711;51
03/03/2014 14:17:53.111;10,915;-48,936;22,711;51
03/03/2014 14:17:53.142;11,251;-48,936;22,711;51
03/03/2014 14:17:53.173;11,43;-48,936;22,711;51
03/03/2014 14:17:53.204;11,594;-48,936;22,711;51
03/03/2014 14:17:53.236;11,773;-48,936;22,711;51
03/03/2014 14:17:53.267;11,953;-48,936;22,711;51
03/03/2014 14:17:53.298;12,054;-48,936;22,711;51
03/03/2014 14:17:53.329;12,023;-48,936;22,711;51
03/03/2014 14:17:53.361;11,898;-48,936;22,711;51
03/03/2014 14:17:53.392;11,75;-48,936;22,711;51
03/03/2014 14:17:53.423;11,609;-48,936;22,711;51
03/03/2014 14:17:53.454;11,524;-48,936;22,711;51
03/03/2014 14:17:53.486;11,508;-48,936;22,711;51
03/03/2014 14:17:53.517;11,492;-48,936;22,711;51
03/03/2014 14:17:53.548;11,539;-48,936;22,711;51
03/03/2014 14:17:53.579;11,633;-48,936;22,711;51
03/03/2014 14:17:53.611;11,703;-48,936;22,711;51
03/03/2014 14:17:53.642;11,719;-48,936;22,711;51
03/03/2014 14:17:53.673;11,758;-48,936;22,711;51
03/03/2014 14:17:53.704;11,734;-48,936;22,711;51
03/03/2014 14:17:53.736;11,664;-48,936;22,711;51
03/03/2014 14:17:53.767;11,57;-48,936;22,711;51
03/03/2014 14:17:53.798;11,399;-48,936;22,711;51
03/03/2014 14:17:53.829;11,266;-48,936;22,711;51
03/03/2014 14:17:53.861;11,149;-48,936;22,711;51
03/03/2014 14:17:53.892;11,001;-48,936;22,711;51
03/03/2014 14:17:53.923;10,837;-48,936;22,711;51
03/03/2014 14:17:53.954;10,705;-48,936;22,711;51
03/03/2014 14:17:53.986;10,556;-48,936;22,711;51
03/03/2014 14:17:54.017;10,455;-48,936;22,698;51
03/03/2014 14:17:54.048;10,346;-48,936;22,698;51
03/03/2014 14:17:54.079;10,283;-48,936;22,711;51
03/03/2014 14:17:54.111;10,182;-48,936;22,711;51
03/03/2014 14:17:54.142;10,081;-48,936;22,711;51
03/03/2014 14:17:54.173;10,01;-48,936;22,711;51
03/03/2014 14:17:54.204;9,971;-48,936;22,711;51
03/03/2014 14:17:54.236;9,909;-48,936;22,711;51
03/03/2014 14:17:54.267;9,87;-48,936;22,711;51
03/03/2014 14:17:54.298;9,839;-48,936;22,711;51
03/03/2014 14:17:54.329;9,823;-48,936;22,711;51
03/03/2014 14:17:54.361;9,769;-48,936;22,711;51
03/03/2014 14:17:54.392;9,722;-48,936;22,711;51
03/03/2014 14:17:54.423;9,683;-48,936;22,711;51
03/03/2014 14:17:54.454;9,62;-48,936;22,711;51
03/03/2014 14:17:54.486;9,558;-48,936;22,698;51
03/03/2014 14:17:54.517;9,48;-48,936;22,711;51
03/03/2014 14:17:54.548;9,449;-48,936;22,698;51
03/03/2014 14:17:54.579;9,394;-48,936;22,711;51
03/03/2014 14:17:54.611;9,324;-48,936;22,698;51
03/03/2014 14:17:54.642;9,324;-48,936;22,698;51
03/03/2014 14:17:54.673;9,308;-48,936;22,711;51
03/03/2014 14:17:54.704;9,293;-48,936;22,698;51
03/03/2014 14:17:54.736;9,277;-48,936;22,698;51
03/03/2014 14:17:54.767;9,238;-48,936;22,711;51
03/03/2014 14:17:54.798;9,004;-48,936;22,711;51
03/03/2014 14:17:54.829;8,996;-48,936;22,698;51
03/03/2014 14:17:54.861;9,02;-48,936;22,698;51
03/03/2014 14:17:54.892;9,067;-48,936;22,698;51
03/03/2014 14:17:54.923;9,113;-48,936;22,698;51
03/03/2014 14:17:54.954;9,152;-48,936;22,711;51
03/03/2014 14:17:54.986;9,199;-48,936;22,711;51
03/03/2014 14:17:55.017;9,215;-48,936;22,711;51
03/03/2014 14:17:55.048;9,285;-48,936;22,711;51
03/03/2014 14:17:55.079;9,379;-48,936;22,711;51
03/03/2014 14:17:55.111;9,511;-48,936;22,711;51
03/03/2014 14:17:55.142;9,667;-48,936;22,698;51
