date;respiration;activite_electrodermale;temperature;frequence_cardiaque
;-15,269;-43,056;26,665;54,000
;-15,020;-43,056;26,665;54,000
;-14,801;-43,056;26,665;54,000
;-14,606;-43,056;26,665;54,000
;-14,482;-43,056;26,665;54,000
;-14,333;-43,056;26,665;54,000
;-14,216;-43,068;26,665;54,000
;-14,099;-43,068;26,665;54,000
;-14,029;-43,068;26,665;54,000
;-14,029;-43,068;26,665;54,000
;-14,053;-43,068;26,665;54,000
;-14,060;-43,068;26,665;54,000
;-14,060;-43,068;26,665;54,000
;-14,021;-43,068;26,665;54,000
;-14,271;-43,056;26,677;54,000
;-14,240;-43,056;26,665;54,000
;-14,209;-43,056;26,665;54,000
;-14,131;-43,056;26,665;54,000
;-14,076;-43,056;26,665;54,000
;-14,014;-43,056;26,665;54,000
;-13,982;-43,056;26,665;54,000
;-14,014;-43,056;26,665;54,000
;-13,951;-43,068;26,665;54,000
;-13,928;-43,068;26,665;54,000
;-13,920;-43,068;26,665;54,000
;-13,936;-43,068;26,665;54,000
;-13,912;-43,068;26,665;54,000
;-13,904;-43,068;26,665;54,000
;-14,185;-43,056;26,690;54,000
;-14,146;-43,068;26,665;54,000
;-14,107;-43,068;26,665;54,000
;-14,084;-43,068;26,665;54,000
;-14,060;-43,068;26,665;54,000
;-14,029;-43,068;26,665;54,000
;-14,014;-43,068;26,665;54,000
;-13,998;-43,068;26,665;54,000
;-14,006;-43,068;26,665;54,000
;-13,975;-43,068;26,665;54,000
;-13,998;-43,068;26,665;54,000
;-13,943;-43,068;26,677;54,000
;-14,014;-43,068;26,665;54,000
;-14,099;-43,068;26,665;54,000
;-14,435;-43,068;26,665;54,000
;-14,404;-43,068;26,665;54,000
;-14,349;-43,068;26,677;54,000
;-14,294;-43,068;26,677;54,000
;-14,287;-43,068;26,665;54,000
;-14,255;-43,068;26,665;54,000
;-14,162;-43,068;26,677;54,000
;-14,115;-43,068;26,665;54,000
;-14,084;-43,068;26,665;54,000
;-14,014;-43,068;26,677;54,000
;-13,967;-43,068;26,677;54,000
;-13,889;-43,068;26,665;54,000
;-13,826;-43,068;26,677;54,000
;-13,772;-43,068;26,677;54,000
;-13,951;-43,068;26,677;54,000
;-13,873;-43,068;26,677;54,000
;-13,780;-43,068;26,677;54,000
;-13,709;-43,068;26,665;54,000
;-13,639;-43,068;26,677;54,000
;-13,553;-43,068;26,677;54,000
;-13,491;-43,068;26,677;54,000
;-13,397;-43,068;26,677;54,000
;-13,335;-43,068;26,677;54,000
;-13,265;-43,068;26,677;54,000
;-13,210;-43,068;26,677;54,000
;-13,156;-43,068;26,677;54,000
;-13,062;-43,068;26,677;54,000
;-12,984;-43,068;26,677;54,000
;-13,218;-43,068;26,677;54,000
;-13,171;-43,068;26,665;54,000
;-13,140;-43,068;26,677;54,000
;-13,093;-43,068;26,677;54,000
;-13,054;-43,068;26,665;54,000
;-12,976;-43,068;26,665;54,000
;-12,898;-43,068;26,665;53,000
;-12,875;-43,068;26,677;53,000
;-12,805;-43,068;26,677;53,000
;-12,727;-43,068;26,677;53,000
;-12,672;-43,068;26,677;53,000
;-12,625;-43,068;26,677;53,000
;-12,594;-43,068;26,677;53,000
;-12,578;-43,068;26,677;53,000
;-12,797;-43,068;26,677;53,000
;-12,719;-43,068;26,677;53,000
;-12,688;-43,068;26,677;53,000
;-12,633;-43,068;26,677;53,000
;-12,633;-43,068;26,677;53,000
;-12,610;-43,068;26,677;53,000
;-12,594;-43,068;26,677;53,000
;-12,586;-43,068;26,677;53,000
;-12,555;-43,068;26,677;53,000
;-12,539;-43,068;26,677;53,000
;-12,547;-43,068;26,677;53,000
;-12,563;-43,068;26,677;53,000
;-12,547;-43,068;26,677;53,000
;-12,547;-43,068;26,677;53,000
;-12,836;-43,068;26,677;53,000
;-12,781;-43,068;26,677;53,000
;-12,758;-43,068;26,677;53,000
;-12,734;-43,068;26,677;53,000
;-12,773;-43,068;26,677;53,000
;-12,844;-43,068;26,677;53,000
;-12,851;-43,068;26,677;53,000
;-12,867;-43,068;26,677;53,000
;-12,844;-43,081;26,677;54,000
;-12,914;-43,081;26,677;54,000
;-12,929;-43,081;26,677;54,000
;-12,945;-43,081;26,677;54,000
;-12,922;-43,081;26,677;54,000
;-12,953;-43,081;26,677;54,000
;-13,046;-43,081;26,677;54,000
;-13,054;-43,081;26,677;54,000
;-13,070;-43,081;26,677;54,000
;-13,109;-43,081;26,677;54,000
;-13,124;-43,081;26,677;54,000
;-13,156;-43,081;26,677;54,000
;-13,179;-43,081;26,677;54,000
;-13,218;-43,081;26,677;54,000
;-13,241;-43,081;26,677;54,000
;-13,257;-43,081;26,665;54,000
;-13,273;-43,081;26,677;54,000
;-13,296;-43,081;26,665;54,000
;-13,319;-43,081;26,677;54,000
;-13,343;-43,081;26,677;54,000
;-13,577;-43,068;26,677;54,000
;-13,569;-43,068;26,677;54,000
;-13,577;-43,068;26,677;54,000
;-13,514;-43,068;26,665;54,000
;-13,538;-43,068;26,677;54,000
;-13,546;-43,068;26,665;54,000
;-13,585;-43,068;26,665;54,000
;-13,670;-43,068;26,665;54,000
;-13,702;-43,081;26,677;54,000
;-13,741;-43,081;26,677;54,000
;-13,733;-43,081;26,665;54,000
;-13,733;-43,081;26,665;54,000
;-13,717;-43,081;26,665;54,000
;-13,741;-43,081;26,665;54,000
;-13,998;-43,068;26,665;54,000
;-13,967;-43,068;26,665;54,000
;-13,943;-43,068;26,665;54,000
;-13,904;-43,068;26,665;54,000
;-13,865;-43,068;26,677;54,000
;-13,865;-43,068;26,665;54,000
;-13,842;-43,068;26,665;54,000
;-13,819;-43,081;26,665;54,000
;-13,834;-43,081;26,677;54,000
;-13,811;-43,081;26,665;54,000
;-13,819;-43,081;26,665;54,000
;-13,826;-43,081;26,665;54,000
;-13,811;-43,081;26,665;54,000
;-13,780;-43,081;26,665;54,000
;-14,045;-43,081;26,665;54,000
;-13,990;-43,081;26,677;54,000
;-13,975;-43,081;26,665;54,000
;-13,920;-43,081;26,677;54,000
;-13,897;-43,081;26,665;54,000
;-13,873;-43,081;26,677;54,000
;-13,865;-43,081;26,677;54,000
;-13,819;-43,081;26,677;54,000
;-13,811;-43,081;26,677;54,000
;-13,811;-43,081;26,677;54,000
;-13,897;-43,081;26,677;54,000
;-13,943;-43,081;26,677;54,000
;-13,951;-43,081;26,677;54,000
;-13,959;-43,081;26,677;54,000
;-14,248;-43,081;26,690;53,000
;-14,201;-43,081;26,677;53,000
;-14,185;-43,081;26,690;53,000
;-14,138;-43,081;26,690;53,000
;-14,092;-43,081;26,690;53,000
;-14,068;-43,081;26,690;53,000
;-14,076;-43,081;26,690;53,000
;-14,053;-43,081;26,690;53,000
;-14,029;-43,081;26,690;53,000
;-14,014;-43,081;26,690;53,000
;-14,014;-43,081;26,702;53,000
;-13,998;-43,081;26,702;53,000
;-13,990;-43,081;26,702;53,000
;-13,975;-43,081;26,702;53,000
;-14,232;-43,081;26,752;53,000
;-14,209;-43,081;26,702;53,000
;-14,154;-43,081;26,702;53,000
;-14,115;-43,081;26,702;53,000
;-14,092;-43,081;26,702;53,000
;-14,076;-43,081;26,702;53,000
