date	respiration	activite_electrodermale	temperature	frequence_cardiaque
06/03/2014 15:19:29.756	-6,884	-42,405	32,721	82
06/03/2014 15:19:29.787	-6,689	-42,33	32,721	82
06/03/2014 15:19:29.819	-6,58	-42,255	32,721	82
06/03/2014 15:19:29.850	-6,518	-42,167	32,721	82
06/03/2014 15:19:29.881	-6,455	-42,092	32,708	82
06/03/2014 15:19:29.912	-6,463	-42,017	32,721	82
06/03/2014 15:19:29.944	-6,502	-41,942	32,721	82
06/03/2014 15:19:29.975	-6,487	-41,867	32,708	82
06/03/2014 15:19:30.006	-6,463	-41,867	32,721	82
06/03/2014 15:19:30.037	-6,479	-41,867	32,721	82
06/03/2014 15:19:30.069	-6,51	-41,879	32,721	82
06/03/2014 15:19:30.100	-6,502	-41,879	32,721	82
06/03/2014 15:19:30.131	-6,479	-41,879	32,721	82
06/03/2014 15:19:30.162	-6,479	-41,879	32,721	82
06/03/2014 15:19:30.194	-6,728	-41,879	32,821	82
06/03/2014 15:19:30.225	-6,705	-41,879	32,721	82
06/03/2014 15:19:30.256	-6,65	-41,879	32,721	82
06/03/2014 15:19:30.287	-6,666	-41,892	32,721	82
06/03/2014 15:19:30.319	-6,658	-41,892	32,721	82
06/03/2014 15:19:30.350	-6,658	-41,892	32,721	82
06/03/2014 15:19:30.381	-6,635	-41,892	32,721	82
06/03/2014 15:19:30.412	-6,666	-41,892	32,721	82
06/03/2014 15:19:30.444	-6,658	-41,904	32,721	82
06/03/2014 15:19:30.475	-6,635	-41,904	32,721	82
06/03/2014 15:19:30.506	-6,627	-41,904	32,721	82
06/03/2014 15:19:30.537	-6,611	-41,904	32,721	82
06/03/2014 15:19:30.569	-6,658	-41,917	32,721	82
06/03/2014 15:19:30.600	-6,728	-41,917	32,721	82
06/03/2014 15:19:30.631	-7,134	-41,904	32,733	82
06/03/2014 15:19:30.662	-7,15	-41,904	32,721	82
06/03/2014 15:19:30.694	-7,212	-41,904	32,721	82
