date;respiration;activite_electrodermale;temperature;frequence_cardiaque
;9,792;-48,936;22,711;51,000
;10,393;-48,936;22,711;51,000
;10,915;-48,936;22,711;51,000
;11,251;-48,936;22,711;51,000
;11,430;-48,936;22,711;51,000
;11,594;-48,936;22,711;51,000
;11,773;-48,936;22,711;51,000
;11,953;-48,936;22,711;51,000
;12,054;-48,936;22,711;51,000
;12,023;-48,936;22,711;51,000
;11,898;-48,936;22,711;51,000
;11,750;-48,936;22,711;51,000
;11,609;-48,936;22,711;51,000
;11,524;-48,936;22,711;51,000
;11,508;-48,936;22,711;51,000
;11,492;-48,936;22,711;51,000
;11,539;-48,936;22,711;51,000
;11,633;-48,936;22,711;51,000
;11,703;-48,936;22,711;51,000
;11,719;-48,936;22,711;51,000
;11,758;-48,936;22,711;51,000
;11,734;-48,936;22,711;51,000
;11,664;-48,936;22,711;51,000
;11,570;-48,936;22,711;51,000
;11,399;-48,936;22,711;51,000
;11,266;-48,936;22,711;51,000
;11,149;-48,936;22,711;51,000
;11,001;-48,936;22,711;51,000
;10,837;-48,936;22,711;51,000
;10,705;-48,936;22,711;51,000
;10,556;-48,936;22,711;51,000
;10,455;-48,936;22,698;51,000
;10,346;-48,936;22,698;51,000
;10,283;-48,936;22,711;51,000
;10,182;-48,936;22,711;51,000
;10,081;-48,936;22,711;51,000
;10,010;-48,936;22,711;51,000
;9,971;-48,936;22,711;51,000
;9,909;-48,936;22,711;51,000
;9,870;-48,936;22,711;51,000
;9,839;-48,936;22,711;51,000
;9,823;-48,936;22,711;51,000
;9,769;-48,936;22,711;51,000
;9,722;-48,936;22,711;51,000
;9,683;-48,936;22,711;51,000
;9,620;-48,936;22,711;51,000
;9,558;-48,936;22,698;51,000
;9,480;-48,936;22,711;51,000
;9,449;-48,936;22,698;51,000
;9,394;-48,936;22,711;51,000
;9,324;-48,936;22,698;51,000
;9,324;-48,936;22,698;51,000
;9,308;-48,936;22,711;51,000
;9,293;-48,936;22,698;51,000
;9,277;-48,936;22,698;51,000
;9,238;-48,936;22,711;51,000
;9,004;-48,936;22,711;51,000
;8,996;-48,936;22,698;51,000
;9,020;-48,936;22,698;51,000
;9,067;-48,936;22,698;51,000
;9,113;-48,936;22,698;51,000
;9,152;-48,936;22,711;51,000
;9,199;-48,936;22,711;51,000
;9,215;-48,936;22,711;51,000
;9,285;-48,936;22,711;51,000
;9,379;-48,936;22,711;51,000
;9,511;-48,936;22,711;51,000
;9,667;-48,936;22,698;51,000
;9,901;-48,936;22,711;51,000
;10,065;-48,936;22,711;51,000
;10,221;-48,936;22,698;51,000
;10,338;-48,936;22,711;51,000
;10,502;-48,936;22,698;51,000
;10,642;-48,936;22,711;51,000
;10,681;-48,936;22,711;51,000
;10,759;-48,936;22,711;51,000
;10,806;-48,936;22,698;51,000
;10,837;-48,936;22,711;51,000
;10,907;-48,936;22,711;51,000
;10,978;-48,936;22,711;51,000
;11,032;-48,936;22,711;51,000
;11,102;-48,936;22,711;51,000
;11,141;-48,936;22,698;51,000
;11,188;-48,936;22,698;51,000
;11,165;-48,936;22,711;51,000
;11,258;-48,936;22,711;51,000
;11,352;-48,936;22,698;51,000
;11,430;-48,936;22,711;51,000
;11,524;-48,936;22,711;51,000
;11,609;-48,936;22,711;51,000
;11,687;-48,936;22,711;51,000
;11,680;-48,936;22,711;51,000
;11,633;-48,936;22,711;51,000
;11,570;-48,936;22,711;51,000
;11,446;-48,936;22,711;51,000
;11,391;-48,936;22,711;51,000
;11,375;-48,936;22,711;51,000
;11,321;-48,936;22,711;51,000
;11,196;-48,936;22,711;51,000
;11,165;-48,936;22,711;51,000
;11,134;-48,936;22,711;51,000
;11,102;-48,936;22,723;51,000
;11,048;-48,936;22,711;51,000
;10,954;-48,936;22,711;51,000
;10,861;-48,936;22,711;51,000
;10,783;-48,936;22,711;51,000
;10,712;-48,936;22,711;51,000
;10,650;-48,936;22,723;51,000
;10,634;-48,936;22,711;51,000
;10,603;-48,936;22,711;51,000
;10,533;-48,936;22,711;51,000
;10,494;-48,936;22,711;51,000
;10,354;-48,936;22,711;51,000
;10,299;-48,936;22,711;51,000
;10,252;-48,936;22,723;51,000
;10,205;-48,936;22,723;51,000
;10,182;-48,936;22,723;51,000
;10,166;-48,936;22,711;51,000
;10,135;-48,936;22,723;51,000
;10,081;-48,936;22,723;51,000
;10,042;-48,936;22,711;51,000
;9,979;-48,936;22,711;51,000
;9,925;-48,936;22,711;51,000
;9,854;-48,936;22,711;51,000
;9,800;-48,936;22,711;51,000
;9,815;-48,936;22,711;51,000
;9,613;-48,936;22,711;51,000
;9,581;-48,936;22,711;51,000
;9,527;-48,936;22,711;51,000
;9,472;-48,936;22,723;51,000
;9,418;-48,936;22,711;51,000
;9,441;-48,936;22,711;51,000
;9,371;-48,936;22,711;51,000
;9,316;-48,936;22,711;51,000
;9,277;-48,936;22,711;51,000
;9,238;-48,936;22,711;51,000
;9,223;-48,936;22,711;51,000
;9,176;-48,936;22,711;51,000
;9,176;-48,936;22,711;51,000
;9,129;-48,936;22,711;51,000
;9,067;-48,936;22,711;51,000
;9,043;-48,936;22,711;51,000
;8,996;-48,936;22,711;51,000
;9,004;-48,936;22,711;51,000
;8,981;-48,936;22,711;51,000
;8,973;-48,936;22,711;51,000
;8,965;-48,936;22,711;51,000
;8,965;-48,936;22,711;51,000
