date;respiration;activite_electrodermale;temperature;frequence_cardiaque
06/03/2014 15:19:29.756;-8,6;-48,936;26,777;79,00
06/03/2014 15:19:29.787;-8,327;-48,936;26,777;79,00
06/03/2014 15:19:29.819;-8,07;-48,936;26,777;79,00
06/03/2014 15:19:29.850;-7,844;-48,936;26,777;79,00
06/03/2014 15:19:29.881;-7,657;-48,936;26,777;79,00
06/03/2014 15:19:29.912;-7,501;-48,936;26,777;79,00
06/03/2014 15:19:29.944;-7,36;-48,936;26,777;79,00
06/03/2014 15:19:29.975;-7,212;-48,936;26,777;79,00
06/03/2014 15:19:30.006;-7,111;-48,936;26,777;79,00
06/03/2014 15:19:30.037;-6,955;-48,936;26,777;79,00
06/03/2014 15:19:30.069;-6,822;-48,936;26,777;79,00
06/03/2014 15:19:30.100;-6,705;-48,936;26,777;79,00
06/03/2014 15:19:30.131;-6,565;-48,936;26,777;79,00
06/03/2014 15:19:30.162;-6,448;-48,936;26,765;79,00
06/03/2014 15:19:30.194;-6,346;-48,936;26,777;79,00
06/03/2014 15:19:30.225;-6,175;-48,936;26,777;79,00
06/03/2014 15:19:30.256;-6,042;-48,936;26,765;79,00
06/03/2014 15:19:30.287;-5,886;-48,936;26,765;79,00
06/03/2014 15:19:30.319;-5,753;-48,936;26,765;79,00
06/03/2014 15:19:30.350;-5,605;-48,936;26,765;79,00
06/03/2014 15:19:30.381;-5,465;-48,936;26,765;79,00
06/03/2014 15:19:30.412;-5,278;-48,936;26,765;79,00
06/03/2014 15:19:30.444;-5,075;-48,936;26,765;79,00
06/03/2014 15:19:30.475;-4,888;-48,936;26,765;79,00
06/03/2014 15:19:30.506;-4,81;-48,936;26,765;79,00
06/03/2014 15:19:30.537;-4,763;-48,936;26,765;79,00
06/03/2014 15:19:30.569;-4,654;-48,936;26,765;79,00
06/03/2014 15:19:30.600;-4,474;-48,936;26,765;79,00
06/03/2014 15:19:30.631;-4,334;-48,936;26,765;79,00
06/03/2014 15:19:30.662;-4,154;-48,936;26,765;79,00
06/03/2014 15:19:30.694;-3,967;-48,936;26,765;79,00
06/03/2014 15:19:30.725;-3,819;-48,936;26,765;79,00
06/03/2014 15:19:30.756;-3,702;-48,936;26,765;79,00
06/03/2014 15:19:30.787;-3,616;-48,936;26,765;79,00
06/03/2014 15:19:30.819;-3,499;-48,936;26,765;79,00
06/03/2014 15:19:30.850;-3,39;-48,936;26,765;79,00
06/03/2014 15:19:30.881;-3,296;-48,936;26,765;79,00
06/03/2014 15:19:30.912;-3,195;-48,936;26,765;79,00
06/03/2014 15:19:30.944;-3,094;-48,936;26,765;79,00
06/03/2014 15:19:30.975;-2,969;-48,936;26,765;79,00
06/03/2014 15:19:31.006;-2,883;-48,936;26,765;79,00
06/03/2014 15:19:31.037;-2,828;-48,936;26,765;79,00
06/03/2014 15:19:31.069;-2,789;-48,936;26,765;79,00
06/03/2014 15:19:31.100;-2,75;-48,936;26,765;79,00
06/03/2014 15:19:31.131;-2,774;-48,936;26,765;79,00
06/03/2014 15:19:31.162;-2,821;-48,936;26,765;79,00
06/03/2014 15:19:31.194;-2,86;-48,936;26,765;79,00
06/03/2014 15:19:31.225;-2,977;-48,936;26,765;79,00
06/03/2014 15:19:31.256;-3,094;-48,936;26,765;79,00
06/03/2014 15:19:31.287;-3,328;-48,936;26,765;79,00
06/03/2014 15:19:31.319;-3,569;-48,936;26,765;79,00
06/03/2014 15:19:31.350;-3,71;-48,936;26,765;79,00
06/03/2014 15:19:31.381;-3,866;-48,936;26,765;79,00
06/03/2014 15:19:31.412;-3,998;-48,936;26,765;79,00
06/03/2014 15:19:31.444;-4,123;-48,936;26,765;80,00
06/03/2014 15:19:31.475;-4,24;-48,936;26,765;80,00
06/03/2014 15:19:31.506;-4,388;-48,936;26,765;80,00
06/03/2014 15:19:31.537;-4,521;-48,936;26,765;80,00
06/03/2014 15:19:31.569;-4,646;-48,936;26,765;80,00
06/03/2014 15:19:31.600;-4,771;-48,936;26,765;80,00
06/03/2014 15:19:31.631;-4,895;-48,936;26,765;80,00
06/03/2014 15:19:31.662;-4,989;-48,936;26,765;80,00
06/03/2014 15:19:31.694;-5,083;-48,936;26,765;80,00
06/03/2014 15:19:31.725;-5,137;-48,936;26,765;80,00
06/03/2014 15:19:31.756;-5,262;-48,936;26,765;80,00
06/03/2014 15:19:31.787;-5,317;-48,936;26,765;80,00
06/03/2014 15:19:31.819;-5,387;-48,936;26,765;80,00
06/03/2014 15:19:31.850;-5,473;-48,936;26,777;80,00
06/03/2014 15:19:31.881;-5,543;-48,936;26,777;80,00
06/03/2014 15:19:31.912;-5,574;-48,936;26,765;80,00
06/03/2014 15:19:31.944;-5,636;-48,936;26,765;80,00
06/03/2014 15:19:31.975;-5,636;-48,936;26,765;80,00
06/03/2014 15:19:32.006;-5,683;-48,936;26,765;80,00
06/03/2014 15:19:32.037;-5,769;-48,936;26,777;80,00
06/03/2014 15:19:32.069;-5,902;-48,936;26,765;80,00
06/03/2014 15:19:32.100;-5,972;-48,936;26,765;80,00
06/03/2014 15:19:32.131;-6,065;-48,936;26,765;80,00
06/03/2014 15:19:32.162;-6,081;-48,936;26,777;80,00
06/03/2014 15:19:32.194;-6,104;-48,936;26,765;80,00
06/03/2014 15:19:32.225;-6,097;-48,936;26,777;80,00
06/03/2014 15:19:32.256;-6,089;-48,936;26,777;80,00
06/03/2014 15:19:32.287;-6,12;-48,936;26,765;80,00
06/03/2014 15:19:32.319;-6,128;-48,936;26,765;80,00
06/03/2014 15:19:32.350;-6,167;-48,936;26,765;80,00
06/03/2014 15:19:32.381;-6,182;-48,936;26,765;80,00
06/03/2014 15:19:32.412;-6,19;-48,936;26,765;80,00
06/03/2014 15:19:32.444;-6,229;-48,936;26,765;80,00
06/03/2014 15:19:32.475;-6,237;-48,936;26,765;80,00
06/03/2014 15:19:32.506;-6,214;-48,936;26,765;80,00
06/03/2014 15:19:32.537;-6,229;-48,936;26,765;80,00
06/03/2014 15:19:32.569;-6,253;-48,936;26,765;80,00
06/03/2014 15:19:32.600;-6,221;-48,936;26,765;80,00
06/03/2014 15:19:32.631;-6,237;-48,936;26,765;80,00
06/03/2014 15:19:32.662;-6,253;-48,936;26,765;80,00
06/03/2014 15:19:32.694;-6,237;-48,936;26,765;80,00
06/03/2014 15:19:32.725;-6,229;-48,936;26,765;80,00
06/03/2014 15:19:32.756;-6,175;-48,936;26,752;80,00
06/03/2014 15:19:32.787;-6,182;-48,936;26,752;80,00
06/03/2014 15:19:32.819;-6,268;-48,936;26,752;80,00
06/03/2014 15:19:32.850;-6,354;-48,936;26,752;80,00
06/03/2014 15:19:32.881;-6,409;-48,936;26,752;80,00
06/03/2014 15:19:32.912;-6,409;-48,936;26,752;80,00
06/03/2014 15:19:32.944;-6,424;-48,936;26,74;80,00
06/03/2014 15:19:32.975;-6,432;-48,936;26,752;80,00
06/03/2014 15:19:33.006;-6,385;-48,936;26,752;80,00
06/03/2014 15:19:33.037;-6,385;-48,936;26,74;80,00
06/03/2014 15:19:33.069;-6,409;-48,936;26,74;80,00
06/03/2014 15:19:33.100;-6,409;-48,936;26,752;80,00
06/03/2014 15:19:33.131;-6,401;-48,936;26,74;80,00
06/03/2014 15:19:33.162;-6,393;-48,936;26,74;80,00
06/03/2014 15:19:33.194;-6,409;-48,936;26,74;80,00
06/03/2014 15:19:33.225;-6,377;-48,936;26,74;80,00
06/03/2014 15:19:33.256;-6,385;-48,936;26,74;80,00
06/03/2014 15:19:33.287;-6,362;-48,936;26,74;80,00
06/03/2014 15:19:33.319;-6,377;-48,936;26,74;80,00
06/03/2014 15:19:33.350;-6,37;-48,936;26,74;80,00
06/03/2014 15:19:33.381;-6,346;-48,936;26,74;80,00
06/03/2014 15:19:33.412;-6,346;-48,936;26,74;80,00
06/03/2014 15:19:33.444;-6,338;-48,936;26,74;80,00
06/03/2014 15:19:33.475;-6,37;-48,936;26,74;80,00
06/03/2014 15:19:33.506;-6,338;-48,936;26,74;80,00
06/03/2014 15:19:33.537;-6,284;-48,936;26,74;80,00
06/03/2014 15:19:33.569;-6,245;-48,936;26,74;80,00
